file,url,title_length,title_ok,meta_description_length,meta_description_ok,h1_count,h2_count,images_count,images_missing_alt_count,images_empty_alt_count,errors_count,warnings_count
blog/meet-midwest-flip-llc.html,https://midwestflipllc.com/blog/meet-midwest-flip-llc.html,33,True,153,True,1,9,6,0,0,0,0
blog.html,https://midwestflipllc.com/blog.html,57,True,157,True,1,8,9,0,0,0,0
index.html,https://midwestflipllc.com/index.html,45,True,130,True,1,7,11,0,0,0,0
receipt_design.html,https://midwestflipllc.com/receipt_design.html,36,True,81,True,1,0,1,0,0,0,0
service-areas.html,https://midwestflipllc.com/service-areas.html,50,True,157,True,1,4,1,0,0,0,0
services/accessible-bathroom-installation.html,https://midwestflipllc.com/services/accessible-bathroom-installation.html,51,True,157,True,1,7,2,0,0,0,0
services/accessory-structures-and-outbuildings.html,https://midwestflipllc.com/services/accessory-structures-and-outbuildings.html,56,True,147,True,1,7,2,0,0,0,0
services/ada-compliant-modifications-commercial.html,https://midwestflipllc.com/services/ada-compliant-modifications-commercial.html,59,True,150,True,1,7,2,0,0,0,0
services/air-sealing-services.html,https://midwestflipllc.com/services/air-sealing-services.html,39,True,145,True,1,7,2,0,0,0,0
services/aluminum-siding-installation.html,https://midwestflipllc.com/services/aluminum-siding-installation.html,47,True,153,True,1,7,2,0,0,0,0
services/appliance-installation-coordination.html,https://midwestflipllc.com/services/appliance-installation-coordination.html,54,True,160,True,1,7,2,0,0,0,0
services/asphalt-shingle-installation.html,https://midwestflipllc.com/services/asphalt-shingle-installation.html,47,True,153,True,1,7,2,0,0,0,0
services/attic-construction-and-finishing.html,https://midwestflipllc.com/services/attic-construction-and-finishing.html,51,True,157,True,1,7,2,0,0,0,0
services/attic-ventilation-improvement.html,https://midwestflipllc.com/services/attic-ventilation-improvement.html,48,True,154,True,1,7,2,0,0,0,0
services/awning-window-installation.html,https://midwestflipllc.com/services/awning-window-installation.html,45,True,151,True,1,7,2,0,0,0,0
services/backsplash-installation.html,https://midwestflipllc.com/services/backsplash-installation.html,42,True,148,True,1,7,2,0,0,0,0
services/baluster-installation.html,https://midwestflipllc.com/services/baluster-installation.html,40,True,146,True,1,7,2,0,0,0,0
services/barrier-free-design-modifications.html,https://midwestflipllc.com/services/barrier-free-design-modifications.html,52,True,158,True,1,7,2,0,0,0,0
services/baseboard-installation.html,https://midwestflipllc.com/services/baseboard-installation.html,41,True,147,True,1,7,2,0,0,0,0
services/basement-bathroom-installation.html,https://midwestflipllc.com/services/basement-bathroom-installation.html,49,True,155,True,1,7,2,0,0,0,0
services/basement-bedroom-construction.html,https://midwestflipllc.com/services/basement-bedroom-construction.html,48,True,154,True,1,7,2,0,0,0,0
services/basement-excavation-and-construction.html,https://midwestflipllc.com/services/basement-excavation-and-construction.html,55,True,146,True,1,7,2,0,0,0,0
services/basement-finishing.html,https://midwestflipllc.com/services/basement-finishing.html,37,True,143,True,1,7,2,0,0,0,0
services/basement-flooring-installation.html,https://midwestflipllc.com/services/basement-flooring-installation.html,49,True,155,True,1,7,2,0,0,0,0
services/basement-waterproofing-services.html,https://midwestflipllc.com/services/basement-waterproofing-services.html,50,True,156,True,1,7,2,0,0,0,0
services/basement-waterproofing.html,https://midwestflipllc.com/services/basement-waterproofing.html,41,True,147,True,1,7,2,0,0,0,0
services/bathroom-flooring.html,https://midwestflipllc.com/services/bathroom-flooring.html,36,True,142,True,1,7,2,0,0,0,0
services/bathroom-remodeling.html,https://midwestflipllc.com/services/bathroom-remodeling.html,38,True,146,True,1,7,2,0,0,0,0
services/bathroom-tile-work.html,https://midwestflipllc.com/services/bathroom-tile-work.html,37,True,143,True,1,7,2,0,0,0,0
services/bathroom-vanity-installation.html,https://midwestflipllc.com/services/bathroom-vanity-installation.html,47,True,153,True,1,7,2,0,0,0,0
services/bathtub-installation.html,https://midwestflipllc.com/services/bathtub-installation.html,39,True,145,True,1,7,2,0,0,0,0
services/bay-window-installation.html,https://midwestflipllc.com/services/bay-window-installation.html,42,True,148,True,1,7,2,0,0,0,0
services/bid-preparation.html,https://midwestflipllc.com/services/bid-preparation.html,34,True,140,True,1,7,2,0,0,0,0
services/block-masonry-construction.html,https://midwestflipllc.com/services/block-masonry-construction.html,45,True,151,True,1,7,2,0,0,0,0
services/blueprint-reading-and-interpretation.html,https://midwestflipllc.com/services/blueprint-reading-and-interpretation.html,55,True,146,True,1,7,2,0,0,0,0
services/brick-masonry-work.html,https://midwestflipllc.com/services/brick-masonry-work.html,37,True,143,True,1,7,2,0,0,0,0
services/brick-siding-installation.html,https://midwestflipllc.com/services/brick-siding-installation.html,44,True,150,True,1,7,2,0,0,0,0
services/brush-clearing.html,https://midwestflipllc.com/services/brush-clearing.html,33,True,139,True,1,7,2,0,0,0,0
services/building-code-interpretation.html,https://midwestflipllc.com/services/building-code-interpretation.html,47,True,153,True,1,7,2,0,0,0,0
services/building-inspection-coordination.html,https://midwestflipllc.com/services/building-inspection-coordination.html,51,True,157,True,1,7,2,0,0,0,0
services/building-permit-acquisition.html,https://midwestflipllc.com/services/building-permit-acquisition.html,46,True,152,True,1,7,2,0,0,0,0
